method,output,cell,content,style,ssim,lpips,e_ssim,l_c,l_s
adain,000000009448__Naive_Art_Primitivism__marc-chagall_the-young-samuel-the-priest-s-servant-heard-that-he-is-called-by-god-eli-and-he-were-sleeping.jpg,000000009448__Naive_Art_Primitivism__marc-chagall_the-young-samuel-the-priest-s-servant-heard-that-he-is-called-by-god-eli-and-he-were-sleeping,000000009448,Naive_Art_Primitivism__marc-chagall_the-young-samuel-the-priest-s-servant-heard-that-he-is-called-by-god-eli-and-he-were-sleeping,0.12655897438526154,0.6385684013366699,0.1255908780519229,2.5975866317749023,0.7240564227104187
adain,000000009448__Northern_Renaissance__albrecht-durer_lamentation-over-christ-1507.jpg,000000009448__Northern_Renaissance__albrecht-durer_lamentation-over-christ-1507,000000009448,Northern_Renaissance__albrecht-durer_lamentation-over-christ-1507,0.1330309361219406,0.6140162944793701,0.1391227570734097,2.4069204330444336,2.1228280067443848
adain,000000009448__Pop_Art__peter-max_composition-red-green-1979.jpg,000000009448__Pop_Art__peter-max_composition-red-green-1979,000000009448,Pop_Art__peter-max_composition-red-green-1979,0.23857168853282928,0.5900265574455261,0.37786745998470544,2.2976839542388916,2.479910135269165
adain,000000009448__Post_Impressionism__vincent-van-gogh_restaurant-de-la-sirene-at-asnieres-1887.jpg,000000009448__Post_Impressionism__vincent-van-gogh_restaurant-de-la-sirene-at-asnieres-1887,000000009448,Post_Impressionism__vincent-van-gogh_restaurant-de-la-sirene-at-asnieres-1887,0.13792021572589874,0.7036811113357544,0.14032488926470552,2.538998603820801,1.9802212715148926
adain,000000009448__Realism__vincent-van-gogh_cottage-with-peasant-coming-home-1885(1).jpg,000000009448__Realism__vincent-van-gogh_cottage-with-peasant-coming-home-1885(1),000000009448,Realism__vincent-van-gogh_cottage-with-peasant-coming-home-1885(1),0.21513085067272186,0.663435697555542,0.25724146667200437,2.3753578662872314,0.6134562492370605
adain,000000009448__Rococo__dmitry-levitzky_portrait-of-baron-a-n-stroganoff.jpg,000000009448__Rococo__dmitry-levitzky_portrait-of-baron-a-n-stroganoff,000000009448,Rococo__dmitry-levitzky_portrait-of-baron-a-n-stroganoff,0.201123908162117,0.7213557958602905,0.3787347521512598,2.249476909637451,0.43878740072250366
adain,000000009448__Romanticism__gustave-dore_paradise-lost-4.jpg,000000009448__Romanticism__gustave-dore_paradise-lost-4,000000009448,Romanticism__gustave-dore_paradise-lost-4,0.17547456920146942,0.6155514121055603,0.21961179974399234,2.3360490798950195,1.1820584535598755
adain,000000009448__Symbolism__nicholas-roerich_language-of-forest-1922.jpg,000000009448__Symbolism__nicholas-roerich_language-of-forest-1922,000000009448,Symbolism__nicholas-roerich_language-of-forest-1922,0.21097423136234283,0.6214861273765564,0.23792957520910776,2.4220259189605713,1.4337722063064575
adain,000000009448__Ukiyo_e__kitagawa-utamaro_not_detected_233134.jpg,000000009448__Ukiyo_e__kitagawa-utamaro_not_detected_233134,000000009448,Ukiyo_e__kitagawa-utamaro_not_detected_233134,0.23436355590820312,0.6217753887176514,0.3167873812367636,2.094909191131592,2.2342209815979004
adain,000000072795__Abstract_Expressionism__paul-jenkins_not_detected_235703.jpg,000000072795__Abstract_Expressionism__paul-jenkins_not_detected_235703,000000072795,Abstract_Expressionism__paul-jenkins_not_detected_235703,0.27451732754707336,0.6041173338890076,0.26800211832560333,2.8939051628112793,1.5257554054260254
adain,000000072795__Art_Nouveau_Modern__nicholas-roerich_oze-1914.jpg,000000072795__Art_Nouveau_Modern__nicholas-roerich_oze-1914,000000072795,Art_Nouveau_Modern__nicholas-roerich_oze-1914,0.28293803334236145,0.5530574321746826,0.30280830326586194,2.353142261505127,1.058838129043579
adain,000000072795__Baroque__rembrandt_portrait-of-nicolas-van-bambeeck-1641.jpg,000000072795__Baroque__rembrandt_portrait-of-nicolas-van-bambeeck-1641,000000072795,Baroque__rembrandt_portrait-of-nicolas-van-bambeeck-1641,0.27375349402427673,0.6018533706665039,0.26818425619215785,2.8077402114868164,0.8264402747154236
adain,000000072795__Color_Field_Painting__leon-berkowitz_dark-light-rose-gold-1978.jpg,000000072795__Color_Field_Painting__leon-berkowitz_dark-light-rose-gold-1978,000000072795,Color_Field_Painting__leon-berkowitz_dark-light-rose-gold-1978,0.1812266856431961,0.9051505923271179,0.21490185649786095,3.635983467102051,0.5259658098220825
adain,000000072795__Cubism__salvador-dali_cubist-composition-portrait-of-a-seated-person-holding-a-letter.jpg,000000072795__Cubism__salvador-dali_cubist-composition-portrait-of-a-seated-person-holding-a-letter,000000072795,Cubism__salvador-dali_cubist-composition-portrait-of-a-seated-person-holding-a-letter,0.23564863204956055,0.7010378837585449,0.26780934100387044,2.8722050189971924,0.5990848541259766
adain,000000072795__Early_Renaissance__pietro-perugino_st-jerome-who-attends-two-unfairly-hanged-1473.jpg,000000072795__Early_Renaissance__pietro-perugino_st-jerome-who-attends-two-unfairly-hanged-1473,000000072795,Early_Renaissance__pietro-perugino_st-jerome-who-attends-two-unfairly-hanged-1473,0.21831123530864716,0.5882070064544678,0.2322207466255417,2.5749545097351074,1.689549446105957
adain,000000072795__Expressionism__amedeo-modigliani_germaine-survage-with-earrings-1918.jpg,000000072795__Expressionism__amedeo-modigliani_germaine-survage-with-earrings-1918,000000072795,Expressionism__amedeo-modigliani_germaine-survage-with-earrings-1918,0.23576785624027252,0.7202742099761963,0.2589096524653177,2.714637517929077,0.9170617461204529
adain,000000072795__High_Renaissance__raphael_madonna-and-child-enthroned-with-saints-1505.jpg,000000072795__High_Renaissance__raphael_madonna-and-child-enthroned-with-saints-1505,000000072795,High_Renaissance__raphael_madonna-and-child-enthroned-with-saints-1505,0.2398471236228943,0.5133625268936157,0.24732414922429494,2.3331942558288574,2.449329137802124
adain,000000072795__Impressionism__pierre-auguste-renoir_leaving-the-bath-1890.jpg,000000072795__Impressionism__pierre-auguste-renoir_leaving-the-bath-1890,000000072795,Impressionism__pierre-auguste-renoir_leaving-the-bath-1890,0.21531695127487183,0.6908347606658936,0.24649773767587005,2.8887643814086914,0.8471001982688904
adain,000000072795__Mannerism_Late_Renaissance__tintoretto_st-mark-rescuing-a-saracen-from-shipwreck-1566.jpg,000000072795__Mannerism_Late_Renaissance__tintoretto_st-mark-rescuing-a-saracen-from-shipwreck-1566,000000072795,Mannerism_Late_Renaissance__tintoretto_st-mark-rescuing-a-saracen-from-shipwreck-1566,0.28199896216392517,0.5581989288330078,0.2463202579718672,2.397824287414551,1.5081133842468262
adain,000000072795__Minimalism__mario-schifano_untitled-1963.jpg,000000072795__Minimalism__mario-schifano_untitled-1963,000000072795,Minimalism__mario-schifano_untitled-1963,0.16144554316997528,0.9977447986602783,0.1853554806777395,3.354466438293457,1.5126090049743652
adain,000000072795__Naive_Art_Primitivism__marc-chagall_the-young-samuel-the-priest-s-servant-heard-that-he-is-called-by-god-eli-and-he-were-sleeping.jpg,000000072795__Naive_Art_Primitivism__marc-chagall_the-young-samuel-the-priest-s-servant-heard-that-he-is-called-by-god-eli-and-he-were-sleeping,000000072795,Naive_Art_Primitivism__marc-chagall_the-young-samuel-the-priest-s-servant-heard-that-he-is-called-by-god-eli-and-he-were-sleeping,0.11086495965719223,0.6340712904930115,0.12372179823529864,2.7209386825561523,0.6161270141601562
adain,000000072795__Northern_Renaissance__albrecht-durer_lamentation-over-christ-1507.jpg,000000072795__Northern_Renaissance__albrecht-durer_lamentation-over-christ-1507,000000072795,Northern_Renaissance__albrecht-durer_lamentation-over-christ-1507,0.12777161598205566,0.5836831331253052,0.12722225837395396,2.4459009170532227,2.2154691219329834
adain,000000072795__Pop_Art__peter-max_composition-red-green-1979.jpg,000000072795__Pop_Art__peter-max_composition-red-green-1979,000000072795,Pop_Art__peter-max_composition-red-green-1979,0.12181103229522705,0.6333433985710144,0.20227848005178564,2.866206645965576,1.9469280242919922
adain,000000072795__Post_Impressionism__vincent-van-gogh_restaurant-de-la-sirene-at-asnieres-1887.jpg,000000072795__Post_Impressionism__vincent-van-gogh_restaurant-de-la-sirene-at-asnieres-1887,000000072795,Post_Impressionism__vincent-van-gogh_restaurant-de-la-sirene-at-asnieres-1887,0.12723691761493683,0.6685863137245178,0.1517854187712225,2.624549388885498,1.685856580734253
