method,content,style,ocr_sim,n_gt
cast,361,mural__img_1082crop_1_0,0.0938,8
stytr2,361,mural__img_1224crop_0_0,0.125,8
adain,361,mural__img_1224crop_0_0,0.0,8
sanet,361,mural__img_1224crop_0_0,0.0,8
cast,361,mural__img_1224crop_0_0,0.0938,8
stytr2,361,mural__img_1224crop_1_1,0.1,8
adain,361,mural__img_1224crop_1_1,0.0,8
sanet,361,mural__img_1224crop_1_1,0.0,8
cast,361,mural__img_1224crop_1_1,0.1389,8
stytr2,361,mural__img_16crop_0_0,0.125,8
adain,361,mural__img_16crop_0_0,0.0,8
sanet,361,mural__img_16crop_0_0,0.0938,8
cast,361,mural__img_16crop_0_0,0.0625,8
stytr2,361,mural__img_276crop_1_0,0.125,8
adain,361,mural__img_276crop_1_0,0.0,8
sanet,361,mural__img_276crop_1_0,0.0,8
cast,361,mural__img_276crop_1_0,0.0938,8
stytr2,361,mural__img_326crop_1_1,0.125,8
adain,361,mural__img_326crop_1_1,0.0,8
sanet,361,mural__img_326crop_1_1,0.0,8
cast,361,mural__img_326crop_1_1,0.0938,8
stytr2,361,mural__img_327crop_0_1,0.125,8
adain,361,mural__img_327crop_0_1,0.0,8
sanet,361,mural__img_327crop_0_1,0.0625,8
cast,361,mural__img_327crop_0_1,0.0938,8
stytr2,361,mural__img_536crop_1_0,0.2378,8
adain,361,mural__img_536crop_1_0,0.0625,8
sanet,361,mural__img_536crop_1_0,0.0938,8
cast,361,mural__img_536crop_1_0,0.1649,8
stytr2,361,mural__img_593crop_0_0,0.125,8
adain,361,mural__img_593crop_0_0,0.0625,8
sanet,361,mural__img_593crop_0_0,0.0938,8
cast,361,mural__img_593crop_0_0,0.0938,8
stytr2,361,mural__img_739crop_1_1,0.2118,8
adain,361,mural__img_739crop_1_1,0.0,8
sanet,361,mural__img_739crop_1_1,0.0,8
cast,361,mural__img_739crop_1_1,0.0938,8
stytr2,361,western_painting__met_359775,0.3476,8
adain,361,western_painting__met_359775,0.0625,8
sanet,361,western_painting__met_359775,0.0,8
cast,361,western_painting__met_359775,0.125,8
stytr2,361,western_painting__met_383787,0.3264,8
