method,content,style,ocr_sim,n_gt
alpha_050,p049,s08,0.4725,12
alpha_050,p050,s00,0.6579,5
alpha_050,p050,s01,0.5079,5
alpha_050,p050,s03,0.7302,5
alpha_050,p050,s02,0.6079,5
alpha_050,p050,s06,0.7754,5
alpha_050,p050,s04,0.7115,5
alpha_050,p050,s07,0.6865,5
alpha_050,p050,s05,0.6865,5
alpha_050,p050,s08,0.7623,5
alpha_050,p050,s09,0.6079,5
alpha_050,p051,s00,0.5188,8
alpha_050,p051,s01,0.4071,8
alpha_050,p051,s02,0.5366,8
alpha_050,p051,s04,0.5188,8
alpha_050,p051,s05,0.4071,8
alpha_050,p051,s03,0.5366,8
alpha_050,p051,s06,0.5366,8
alpha_050,p051,s08,0.5366,8
alpha_050,p051,s07,0.4574,8
alpha_050,p051,s09,0.4250,8
alpha_050,p052,s00,0.6667,3
alpha_050,p052,s01,0.6667,3
alpha_050,p052,s02,0.6667,3
alpha_050,p052,s07,0.6667,3
alpha_050,p052,s03,0.6667,3
alpha_050,p052,s06,0.6667,3
alpha_050,p052,s04,0.6667,3
alpha_050,p052,s08,0.6667,3
alpha_050,p052,s05,0.6667,3
alpha_050,p052,s09,0.6667,3
alpha_050,p053,s00,0.7750,5
alpha_050,p053,s01,0.7000,5
alpha_050,p053,s02,0.7500,5
alpha_050,p053,s04,0.7500,5
alpha_050,p053,s03,0.8000,5
alpha_050,p053,s05,0.7250,5
alpha_050,p053,s06,0.8000,5
alpha_050,p053,s08,0.8000,5
alpha_050,p053,s07,0.7250,5
alpha_050,p053,s09,0.7000,5
alpha_050,p054,s00,0.4345,6
alpha_050,p054,s01,0.1944,6
alpha_050,p054,s03,0.4385,6
alpha_050,p054,s05,0.3968,6
alpha_050,p054,s02,0.4524,6
alpha_050,p054,s04,0.4325,6
alpha_050,p054,s06,0.4802,6
alpha_050,p054,s07,0.4583,6
alpha_050,p054,s09,0.4206,6
alpha_050,p054,s08,0.5000,6
alpha_050,p055,s02,0.4402,10
alpha_050,p055,s01,0.5213,10
alpha_050,p055,s00,0.6832,10
alpha_050,p055,s05,0.5167,10
alpha_050,p055,s04,0.6602,10
alpha_050,p055,s03,0.6432,10
alpha_050,p055,s06,0.6009,10
alpha_050,p055,s07,0.6923,10
alpha_050,p055,s08,0.7591,10
alpha_050,p055,s09,0.6373,10
alpha_050,p056,s01,0.2571,5
alpha_050,p056,s00,0.5048,5
alpha_050,p056,s02,0.5581,5
alpha_050,p056,s03,0.5590,5
alpha_050,p056,s07,0.5314,5
alpha_050,p056,s08,0.4933,5
alpha_050,p056,s06,0.5724,5
alpha_050,p056,s04,0.5867,5
alpha_050,p056,s05,0.4610,5
alpha_050,p056,s09,0.5724,5
alpha_050,p057,s01,0.5367,10
alpha_050,p057,s00,0.6331,10
alpha_050,p057,s03,0.5745,10
alpha_050,p057,s02,0.5096,10
alpha_050,p057,s04,0.5376,10
alpha_050,p057,s06,0.4442,10
alpha_050,p057,s05,0.4647,10
alpha_050,p057,s07,0.5113,10
alpha_050,p057,s08,0.5902,10
alpha_050,p057,s09,0.6531,10
alpha_050,p058,s00,0.8600,5
alpha_050,p058,s02,0.8711,5
alpha_050,p058,s03,0.8889,5
alpha_050,p058,s01,0.3733,5
alpha_050,p058,s06,0.9667,5
alpha_050,p058,s04,0.9267,5
alpha_050,p058,s08,0.7600,5
alpha_050,p058,s05,0.8933,5
alpha_050,p058,s07,0.8000,5
alpha_050,p058,s09,0.9267,5
alpha_050,p059,s00,0.4042,12
alpha_050,p059,s02,0.2740,12
alpha_050,p059,s01,0.2269,12
alpha_050,p059,s04,0.4327,12
alpha_050,p059,s03,0.4865,12
alpha_050,p059,s05,0.2807,12
alpha_050,p059,s08,0.4293,12
alpha_050,p059,s07,0.4178,12
protected,p000,s00,0.7136,6
alpha_050,p059,s09,0.4181,12
alpha_050,p059,s06,0.3160,12
protected,p000,s01,0.4271,6
protected,p000,s05,0.4972,6
protected,p000,s02,0.3726,6
protected,p000,s03,0.7593,6
protected,p000,s06,0.4868,6
protected,p000,s04,0.4996,6
protected,p000,s07,0.3274,6
protected,p001,s01,0.5000,4
protected,p001,s00,0.9583,4
protected,p001,s02,0.9583,4
protected,p001,s03,0.9583,4
protected,p000,s08,0.6193,6
protected,p000,s09,0.4968,6
protected,p001,s04,0.9583,4
protected,p001,s05,0.9583,4
protected,p001,s06,0.7625,4
protected,p001,s07,0.8181,4
protected,p001,s08,0.9306,4
protected,p001,s09,0.8958,4
protected,p002,s01,0.1389,6
protected,p002,s00,0.8452,6
protected,p002,s05,0.8016,6
protected,p002,s02,0.7049,6
protected,p002,s04,0.8889,6
protected,p002,s03,0.8889,6
protected,p002,s06,0.7524,6
protected,p002,s07,0.7683,6
protected,p002,s08,0.8139,6
protected,p003,s00,0.4464,11
protected,p002,s09,0.8457,6
protected,p003,s02,0.4199,11
protected,p003,s04,0.5628,11
protected,p003,s01,0.4004,11
protected,p003,s03,0.5325,11
protected,p003,s05,0.3858,11
protected,p003,s06,0.4838,11
protected,p003,s07,0.4345,11
protected,p003,s08,0.4719,11
protected,p003,s09,0.5476,11
protected,p004,s02,0.3493,15
protected,p004,s01,0.2074,15
protected,p004,s00,0.3342,15
protected,p004,s04,0.3713,15
protected,p004,s05,0.3850,15
protected,p004,s03,0.4443,15
protected,p005,s01,0.8222,3
protected,p004,s07,0.3815,15
protected,p005,s00,0.8148,3
protected,p004,s06,0.5020,15
protected,p004,s08,0.3700,15
protected,p004,s09,0.3931,15
protected,p005,s04,0.8148,3
protected,p005,s02,0.8519,3
protected,p005,s03,0.8148,3
protected,p005,s05,0.8148,3
protected,p005,s06,0.7481,3
protected,p005,s07,0.8222,3
protected,p005,s08,0.7593,3
protected,p005,s09,0.8519,3
protected,p006,s01,0.4786,7
protected,p006,s00,0.5714,7
protected,p006,s03,0.6000,7
protected,p006,s04,0.5286,7
protected,p006,s02,0.3643,7
protected,p006,s06,0.4571,7
protected,p006,s07,0.3714,7
protected,p006,s05,0.4929,7
protected,p006,s08,0.5286,7
protected,p006,s09,0.5643,7
protected,p007,s00,0.6387,9
protected,p007,s04,0.7394,9
protected,p007,s02,0.6560,9
protected,p007,s03,0.6867,9
protected,p007,s01,0.6577,9
protected,p007,s05,0.5692,9
protected,p008,s00,0.9375,4
protected,p007,s06,0.6040,9
protected,p008,s01,0.6597,4
protected,p007,s09,0.6230,9
protected,p008,s03,0.8472,4
protected,p008,s02,0.9097,4
protected,p007,s08,0.6463,9
protected,p007,s07,0.5995,9
protected,p008,s04,0.9375,4
protected,p008,s07,0.8750,4
protected,p008,s05,0.7847,4
protected,p008,s06,0.7847,4
protected,p008,s09,0.9375,4
protected,p008,s08,0.8472,4
protected,p009,s02,0.4386,10
protected,p009,s04,0.5964,10
protected,p009,s01,0.0667,10
protected,p009,s03,0.6203,10
protected,p009,s00,0.6203,10
protected,p009,s05,0.5113,10
protected,p009,s06,0.5597,10
protected,p009,s09,0.5841,10
protected,p009,s07,0.5644,10
protected,p010,s00,0.3116,16
protected,p009,s08,0.5162,10
protected,p010,s01,0.1683,16
protected,p010,s05,0.2229,16
protected,p010,s02,0.3327,16
protected,p010,s03,0.4571,16
protected,p010,s04,0.3699,16
protected,p010,s07,0.2795,16
protected,p010,s06,0.2850,16
protected,p011,s00,0.8000,2
protected,p010,s09,0.3384,16
protected,p011,s01,0.6750,2
protected,p010,s08,0.3371,16
protected,p011,s02,0.8000,2
protected,p011,s03,0.8000,2
protected,p011,s04,0.9000,2
protected,p011,s07,0.8750,2
protected,p011,s05,0.8000,2
protected,p011,s06,0.9000,2
protected,p011,s08,0.8000,2
protected,p011,s09,0.8000,2
protected,p012,s01,0.1568,8
protected,p012,s00,0.3693,8
protected,p012,s02,0.2429,8
protected,p012,s05,0.2013,8
protected,p012,s03,0.2412,8
protected,p012,s04,0.3662,8
protected,p012,s06,0.2318,8
protected,p012,s08,0.3077,8
protected,p012,s07,0.2434,8
protected,p012,s09,0.2412,8
protected,p013,s00,0.4960,14
protected,p013,s01,0.5833,14
protected,p013,s02,0.4047,14
protected,p013,s03,0.4625,14
protected,p013,s04,0.7360,14
protected,p013,s05,0.4025,14
protected,p013,s07,0.4566,14
protected,p013,s06,0.6467,14
protected,p014,s00,0.4722,12
protected,p013,s08,0.6531,14
protected,p014,s01,0.3148,12
protected,p013,s09,0.7207,14
protected,p014,s02,0.3426,12
protected,p014,s05,0.3565,12
protected,p014,s07,0.4259,12
protected,p014,s03,0.4352,12
protected,p014,s04,0.5347,12
protected,p014,s06,0.4676,12
protected,p014,s08,0.5146,12
protected,p015,s01,0.2780,14
protected,p015,s00,0.4905,14
protected,p014,s09,0.3356,12
protected,p015,s02,0.4089,14
protected,p015,s03,0.5446,14
protected,p015,s05,0.3863,14
protected,p015,s04,0.4732,14
